diviziune,grupa,clasa,denumire,nivel
1,108,1082,"Fabricarea produselor din cacao, a ciocolatei si a produselor zaharoase",3
1,108,1083,Prelucrarea ceaiului si cafelei,3
1,108,1084,Fabricarea condimentelor si ingredientelor,3
1,108,1085,Fabricarea de mancarururi preparate,3
1,108,1086,Fabricarea preparatelor alimentare omogenizate si alimentelor dietetice,3
1,108,1089,Fabricarea altor produse alimentare n.c.a.,3
1,109,,Fabricarea preparatelor pentru hrana animalelor,2
1,109,1091,Fabricarea preparatelor pentru hrana animalelor de ferma,3
1,109,1092,Fabricarea preparatelor pentru hrana animalelor de companie 11 Fabricarea bauturilor,3
1,110,,Fabricarea bauturilor,2
1,110,1101,"Distilarea, rafinarea si mixarea bauturilor alcoolice",3
1,110,1102,Fabricarea vinurilor din struguri,3
1,110,1103,Fabricarea cidrului si a altor vinuri din fructe,3
1,110,1104,"Fabricarea altor bauturi nedistilate, obtinute prin fermentare",3
1,110,1105,Fabricarea berii,3
1,110,1106,Fabricarea maltului,3
1,110,1107,Productia de bauturi racoritoare nealcoolice; productia de ape minerale si alte ape imbuteliate 12 Fabricarea produselor din tutun,3
1,120,,Fabricarea produselor din tutun,2
1,120,1200,Fabricarea produselor din tutun 13 Fabricarea produselor textile,3
1,131,,Pregatirea fibrelor si filarea fibrelor textile,2
1,131,1310,Pregatirea fibrelor si filarea fibrelor textile,3
1,132,,Productia de tesaturi,2
1,132,1320,Productia de tesaturi,3
1,133,,Finisarea materialelor textile,2
1,133,1330,Finisarea materialelor textile,3
1,139,,Fabricarea altor articole textile,2
1,139,1391,Fabricarea de metraje prin tricotare sau crosetare 4 4,3
1,139,1392,Fabricarea de articole confectionate din textile (excluzand imbracamintea si lenjeria de corp),3
1,139,1393,Fabricarea de covoare si mochete,3
1,139,1394,"Fabricarea de odgoane, franghii, sfori si plase",3
1,139,1395,"Fabricarea de textile netesute si articole din acestea, cu exceptia confectiilor de imbracaminte",3
1,139,1396,Fabricarea de articole tehnice si industriale din textile,3
1,139,1399,Fabricarea altor articole textile n.c.a. 14 Fabricarea articolelor de imbracaminte,3
1,141,,Fabricarea articolelor de imbracaminte prin tricotare sau crosetare,2
1,141,1410,Fabricarea articolelor de imbracaminte prin tricotare sau crosetare,3
1,142,,Fabricarea altor articole de imbracaminte si accesorii,2
1,142,1421,Fabricarea articolelor de imbracaminte,3
1,142,1422,Fabricarea de articole de lenjerie de corp,3
1,142,1423,Fabricarea de articole de imbracaminte pentru lucru,3
1,142,1424,Fabricarea articolelor de imbracaminte din piele si blana,3
1,142,1429,"Fabricarea altor articole de imbracaminte si accesorii n.c.a. 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie, harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor",3
1,151,,Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie si a articolelor de harnasament; prepararea si vopsirea blanurilor,2
1,151,1511,Tabacirea si finisarea pieilor; prepararea si vopsirea blanurilor,3
1,151,1512,Fabricarea articolelor de voiaj si marochinarie si a articolelor de harnasament,3
1,152,,Fabricarea incaltamintei,2
1,152,1520,"Fabricarea incaltamintei 16 Prelucrarea lemnului, fabricarea produselor din lemn si pluta, cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite",3
1,161,,Taierea si rindeluirea lemnului,2
1,161,1611,Taierea si rindeluirea lemnului,3
1,161,1612,Prelucrarea si finisarea lemnului,3
1,162,,"Fabricarea produselor din lemn, pluta, paie si din alte materiale vegetale",2
1,162,1621,Fabricarea de furnire si a panourilor din lemn,3
1,162,1622,Fabricarea parchetului asamblat in panouri,3
1,162,1623,"Fabricarea altor elemente de dulgherie si tamplarie, pentru constructii",3
1,162,1624,Fabricarea ambalajelor din lemn,3
1,162,1625,Fabricarea de usi si ferestre din lemn,3
1,162,1626,Fabricarea de combustibili solizi din biomasa vegetala,3
1,162,1627,Finisarea articolelor din lemn,3
1,162,1628,"Fabricarea altor produse din lemn; fabricarea articolelor din pluta, paie si din alte materiale vegetale impletite 17 Fabricarea hartiei si a produselor din hartie 5 5",3
1,171,,"Fabricarea celulozei, hartiei si cartonului",2
1,171,1711,Fabricarea celulozei,3
1,171,1712,Fabricarea hartiei si cartonului,3
1,172,,Fabricarea articolelor din hartie si carton 1721 Fabricarea hartiei si cartonului ondulat si a ambalajelor din hartie si carton,2
1,172,1722,"Fabricarea produselor de uz gospodaresc si sanitar, din hartie sau carton",3
1,172,1723,Fabricarea articolelor de papetarie,3
1,172,1724,Fabricarea tapetului,3
1,172,1725,Fabricarea altor articole din hartie si carton n.c.a. 18 Tiparire si reproducerea pe suporti a inregistrarilor,3
1,181,,Tiparire si activitati de servicii conexe tiparirii,2
1,181,1811,Tiparirea ziarelor,3
1,181,1812,Alte activitati de tiparire n.c.a.,3
1,181,1813,Servicii pregatitoare pentru pretiparire,3
1,181,1814,Legatorie si servicii conexe,3
1,182,,Reproducerea inregistrarilor,2
1,182,1820,Reproducerea inregistrarilor 19 Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului,3
1,191,,Fabricarea produselor de cocserie,2
1,191,1910,Fabricarea produselor de cocserie,3
1,192,,Fabricarea produselor obtinute din prelucrarea titeiului,2
1,192,1920,Fabricarea produselor obtinute din prelucrarea titeiului 20 Fabricarea substantelor si a produselor chimice,3
1,201,,"Fabricarea produselor chimice de baza, a ingrasamintelor si produselor azotoase; fabricarea materialelor plastice si a cauciucului sintetic, in forme primare",2
1,201,2011,Fabricarea gazelor industriale,3
1,201,2012,Fabricarea colorantilor si a pigmentilor,3
1,201,2013,"Fabricarea altor produse chimice anorganice, de baza",3
1,201,2014,"Fabricarea altor produse chimice organice, de baza",3
1,201,2015,Fabricarea ingrasamintelor si produselor azotoase,3
1,201,2016,Fabricarea materialelor plastice in forme primare,3
1,201,2017,Fabricarea cauciucului sintetic in forme primare,3
1,202,,Fabricarea pesticidelor si a altor produse agrochimice,2
