"GRUPA";"DENUMIRE";"NACE";"DIVIZIUNE"
"281";"Fabricarea de maşini şi utilaje de utilizare generală";;"28"
"282";"Fabricarea altor maşini şi utilaje de utilizare generală";;"28"
"283";"Fabricarea maşinilor şi utilajelor pentru agricultură şi exploatări forestiere";;"28"
"284";"Fabricarea utilajelor pentru prelucrarea metalului şi maşinilor-unelte";;"28"
"289";"Fabricarea altor maşini şi utilaje cu destinaţie specifică";;"28"
"291";"Fabricarea autovehiculelor de transport rutier";;"29"
"292";"Producţia de caroserii pentru autovehicule; fabricarea de remorci şi semiremorci";;"29"
"293";"Producţia de piese şi accesorii pentru autovehicule şi pentru motoare de autovehicule";;"29"
"301";"Construcţia de nave şi bărci";;"30"
"302";"Fabricarea materialului rulant";;"30"
"303";"Fabricarea de aeronave şi nave spaţiale";;"30"
"304";"Fabricarea vehiculelor militare de luptă";;"30"
"309";"Fabricarea altor echipamente de transport n.c.a.";;"30"
"310";"Fabricarea de mobilă";;"31"
"321";"Fabricarea bijuteriilor, imitaţiilor de bijuterii şi articolelor similare";;"32"
"322";"Fabricarea instrumentelor muzicale";;"32"
"323";"Fabricarea articolelor pentru sport";;"32"
"324";"Fabricarea jocurilor şi jucăriilor";;"32"
"325";"Producţia de dispozitive, aparate şi instrumente medicale şi stomatologice";;"32"
"329";"Alte activităţi industriale";;"32"
"331";"Repararea articolelor fabricate din metal, repararea maşinilor şi echipamentelor";;"33"
"332";"Instalarea maşinilor şi echipamentelor industriale";;"33"
"351";"Producţia, transportul şi distribuţia energiei electrice";;"35"
"352";"Producţia gazelor; distribuţia combustibililor gazoşi prin conducte";;"35"
"353";"Furnizarea de abur şi aer condiţionat";;"35"
"360";"Captarea, tratarea şi distribuţia apei";;"36"
"370";"Colectarea şi epurarea apelor uzate";;"37"
"381";"Colectarea deşeurilor";;"38"
"382";"Tratarea şi eliminarea deşeurilor";;"38"
"383";"Recuperare a materialelor reciclabile";;"38"
"390";"Activităţi şi servicii de decontaminare";;"39"
"411";"Dezvoltare (promovare) imobiliară";;"41"
"412";"Lucrări de construcţii a clădirilor rezidenţiale şi nerezidenţiale";;"41"
"421";"Lucrări de construcţii a drumurilor şi a căilor ferate";;"42"
"422";"Lucrări de construcţii a proiectelor utilitare";;"42"
"429";"Lucrări de construcţii a altor proiecte inginereşti";;"42"
"431";"Lucrări de demolare şi de pregătire a terenului";;"43"
"432";"Lucrări de instalaţii electrice şi tehnico-sanitare şi alte lucrări de instalaţii pentru construcţii";;"43"
"433";"Lucrări de finisare";;"43"
"439";"Alte lucrări speciale de construcţii";;"43"
"451";"Comerţ cu autovehicule";;"45"
"452";"Întreţinerea şi repararea autovehiculelor";;"45"
"453";"Comerţ cu piese şi accesorii pentru autovehicule";;"45"
"454";"Comerţ cu motociclete, piese şi accesorii aferente; întreţinerea şi repararea motocicletelor";;"45"
"461";"Activitaţi de intermediere în comerţul cu ridicata";;"46"
"462";"Comerţul cu ridicata al produselor agricole brute şi al animalelor vii";;"46"
"463";"Comerţ cu ridicata al produselor alimentare, al băuturilor şi al tutunului";;"46"
"464";"Comerţ cu ridicata al bunurilor de consum";;"46"
"465";"Comerţ cu ridicata al echipamentului informatic şi de telecomunicaţii";;"46"
"466";"Comerţ cu ridicata al altor maşini, echipamente şi furnituri";;"46"
"467";"Comerţ cu ridicata specializat al altor produse";;"46"
"469";"Comerţ cu ridicata nespecializat";;"46"
"471";"Comerţ cu amănuntul în magazine nespecializate";;"47"
"472";"Comerţ cu amănuntul al produselor alimentare, băuturilor şi al produselor din tutun, în magazine specializate";;"47"
"473";"Comerţ cu amănuntul al carburanţilor pentru autovehicule, in magazine specializate";;"47"
"474";"Comerţ cu amănuntul al echipamentului informatic şi de telecomunicaţii, în magazine specializate";;"47"
"475";"Comerţ cu amănuntul al altor produse casnice, în magazine specializate";;"47"
"476";"Comerţ cu amănuntul de bunuri culturale şi recreative, în magazine specializate";;"47"
"477";"Comerţ cu amănuntul al altor bunuri, în magazine specializate";;"47"
"478";"Comerţ cu amănuntul efectuat prin standuri, chioşcuri şi pieţe";;"47"
"479";"Comerţ cu amănuntul care nu se efectuează prin magazine, standuri, chioşcuri şi pieţe";;"47"
"491";"Transporturi interurbane de călători pe calea ferată";;"49"
"492";"Transporturi de marfă pe calea ferată";;"49"
"493";"Alte transporturi terestre de călători";;"49"
"494";"Transporturi rutiere de mărfuri şi servicii de mutare";;"49"
"495";"Transporturi prin conducte";;"49"
"501";"Transporturi maritime şi costiere de pasageri";;"50"
"502";"Transporturi maritime şi costiere de marfă";;"50"
"503";"Transporturi de pasageri pe căi navigabile interioare";;"50"
"504";"Transportul de marfă pe căi navigabile interioare";;"50"
"511";"Transporturi aeriene de pasageri";;"51"
"512";"Transporturi aeriene de marfă şi transporturi spaţiale";;"51"
"521";"Depozitări";;"52"
"522";"Activităţi anexe pentru transporturi";;"52"
"531";"Activităţi poştale desfăşurate sub obligativitatea serviciului universal";;"53"
"532";"Alte activităţi poştale şi de curier";;"53"
"551";"Hoteluri şi alte facilităţi de cazare similare";;"55"
"552";"Facilităţi de cazare pentru vacanţe şi perioade de scurtă durată";;"55"
"553";"Parcuri pentru rulote, campinguri, şi tabere";;"55"
"559";"Alte servicii de cazare";;"55"
"561";"Restaurante";;"56"
"562";"Activităţi de alimentaţie (catering) pentru evenimente şi alte servicii de alimentaţie";;"56"
"563";"Baruri şi alte activităţi de servire a băuturilor";;"56"
"581";"Activităţi de editare a cărţilor, ziarelor, revistelor şi alte activităţi de editare";;"58"
"582";"Activităţi de editare a produselor software";;"58"
"591";"Activităţi de producţie cinematografică, video şi de programe de televiziune";;"59"
"592";"Activităţi de realizare a înregistrărilor audio şi activităţi de editare muzicală";;"59"
"601";"Activităţi de difuzare a programelor de radio";;"60"
"602";"Activităţi de difuzare a programelor de televiziune";;"60"
"611";"Activităţi de telecomunicaţii prin reţele cu cablu";;"61"
"612";"Activităţi de telecomunicaţii prin reţele fără cablu";;"61"
"613";"Activităţi de telecomunicaţii prin satelit";;"61"
"619";"Alte activităţi de telecomunicaţii";;"61"
"620";"Activităţi de servicii în tehnologia informaţiei";;"62"
"631";"Activităţi ale portalurilor web, prelucrarea datelor, administrarea paginilor web şi activităţi conexe";;"63"
"639";"Alte activităţi de servicii informaţionale";;"63"
"641";"Intermediere monetară";;"64"
"642";"Activităţi ale holdingurilor";;"64"
"643";"Fonduri mutuale şi alte entităţi financiare similare";;"64"
"649";"Alte activiăţi  intermedieri financiare, exclusiv activităţi de asigurări şi fonduri de pensii";;"64"
"651";"Activităţi de asigurări";;"65"
"652";"Activităţi de reasigurare";;"65"
"653";"Activităţi ale fondurilor de pensii (cu excepţia celor din sistemul public de asigurări sociale)";;"65"
"661";"Activităţi auxiliare intermedierilor financiare, cu excepţia activităţilor de asigurări şi fonduri de pensii";;"66"
"662";"Activităţi auxiliare de asigurări şi fonduri de pensii";;"66"
"663";"Activităţi de administrare a fondurilor";;"66"
"681";"Cumpărarea şi vânzarea de bunuri imobiliare proprii";;"68"
"682";"Închirierea şi subînchirierea bunurilor imobiliare proprii sau în leasing";;"68"
"683";"Activităţi imobiliare pe bază de comision sau contract";;"68"
"691";"Activităţi juridice";;"69"
"692";"Activităţi de contabilitate şi audit financiar; consultanţă în domeniul fiscal";;"69"
"701";"Activităţi ale direcţiilor (centralelor), birourilor administrative centralizate";;"70"
"702";"Activităţi de consultanţă în management";;"70"
"711";"Activităţi de arhitectură, inginerie şi servicii de consultanţă tehnică legate de acestea";;"71"
"712";"Activităţi de testare şi analize tehnice";;"71"
"721";"Cercetare-dezvoltare în ştiinţe naturale şi inginerie";;"72"
"722";"Cercetare-dezvoltare în ştiinţe sociale şi umaniste";;"72"
"731";"Publicitate";;"73"
"732";"Activităţi de studiere a pieţei şi de sondare a opiniei publice";;"73"
"741";"Activităţi de design specializat";;"74"
"742";"Activităţi fotografice";;"74"
"743";"Activităţi de traducere scrisă şi orală (interpreţi)";;"74"
"749";"Alte activităţi profesionale, ştiinţifice şi tehnice n.c.a.";;"74"
"750";"Activităţi veterinare";;"75"
"771";"Activităţi de închiriere şi leasing cu autovehicule";;"77"
"772";"Activităţi de închiriere şi leasing cu bunuri personale şi gospodăreşti";;"77"
"773";"Activităţi de închiriere şi leasing cu alte maşini, echipamente şi bunuri tangibile";;"77"
"774";"Leasing cu bunuri intangibile (exclusiv financiare)";;"77"
"781";"Activităţi ale agenţiilor de plasare a forţei de muncă";;"78"
"782";"Activităţi de contractare, pe baze temporare, a personalului";;"78"
"783";"Alte servicii de furnizare  a forţei de muncă";;"78"
"791";"Activităţi ale agenţiilor turistice şi a tur-operatorilor";;"79"
"799";"Alte servicii de rezervare şi asistenţă turistică";;"79"
"801";"Activităţi de protecţie şi gardă";;"80"
"802";"Activităţi de servicii privind sistemele de securizare";;"80"
"803";"Activităţi de investigaţii";;"80"
"811";"Activităţi de servicii suport combinate";;"81"
"812";"Activităţi de curăţenie";;"81"
"813";"Activităţi de întreţinere peisagistică";;"81"
"821";"Activităţi de secretariat şi servicii suport";;"82"
"822";"Activităţi ale centrelor de intermediere telefonică (call center)";;"82"
"823";"Activităţi de organizare a expoziţiilor, târgurilor şi congreselor";;"82"
"829";"Activităţi de servicii suport pentru întreprinderi n.c.a.";;"82"
"841";"Administraţie publică generală, economică şi socială";;"84"
"842";"Activităţi de servicii pentru societate";;"84"
"843";"Activităţi de protecţie socială obligatorie";;"84"
"851";"Învăţământ preşcolar";;"85"
"852";"Învăţământ primar";;"85"
"853";"Învăţământ secundar";;"85"
"854";"Învăţământ superior";;"85"
"855";"Alte forme de învăţământ";;"85"
"856";"Activităţi de servicii suport pentru învăţământ";;"85"
"861";"Activităţi de asistenţă spitalicească";;"86"
"862";"Activităţi de asistenţă medicală ambulatorie şi stomatologică";;"86"
"869";"Alte activităţi referitoare la sănătatea umană";;"86"
"871";"Activităţi ale centrelor de îngrijire medicală";;"87"
"872";"Activităţi ale centrelor de recuperare psihică şi de dezintoxicare, exclusiv spitale";;"87"
"873";"Activităţi ale căminelor de bătrâni şi ale căminelor pentru persoane aflate în incapacitate de a se îngriji singure";;"87"
"879";"Alte activităţi de asistenţă socială, cu cazare n.c.a.";;"87"
"881";"Activităţi de asistenţă socială, fără cazare, pentru bătrâni şi pentru persoane aflate în incapacitate de a se îngriji singure";;"88"
"889";"Alte activităţi de asistenţă socială, fără cazare";;"88"
"900";"Activităţi de creaţie şi interpretare artistică";;"90"
"910";"Activităţi ale bibliotecilor, arhivelor, muzeelor şi alte activităţi culturale";;"91"
"920";"Activităţi de jocuri de noroc şi pariuri";;"92"
"931";"Activităţi ale bazelor sportive";;"93"
"932";"Alte activităţi recreative şi distractive";;"93"
"941";"Activităţi ale organizaţiilor economice, patronale şi profesionale";;"94"
"942";"Activităţi ale sindicatelor salariaţilor";;"94"
"949";"Alte activităţi asociative";;"94"
"951";"Repararea calculatoarelor şi a echipamentelor de comunicaţii";;"95"
"952";"Reparaţii de articole personale şi de uz gospodăresc";;"95"
"960";"Alte activităţi de servicii";;"96"
"970";"Activităţi ale gospodăriilor private în calitate de angajator de personal casnic";;"97"
"981";"Activităţi ale gospodăriilor private de producere de bunuri destinate consumului propriu";;"98"
"982";"Activităţi ale gospodăriilor private de producere de servicii pentru scopuri proprii";;"98"
"990";"Activităţi ale organizaţiilor şi organismelor extrateritoriale";;"99"
